,randomx,progpow,cuckatoo,height,timestamp
0,7435046,9937276548,13068,938779,1622442539
0,7435046,10038481731,13068,938780,1622442573
0,7397594,10038481731,13068,938781,1622442634
0,7418586,10038481731,13068,938782,1622442646
0,7418586,10085454235,13068,938783,1622442729
0,7423526,10085454235,13068,938784,1622442753
0,7423526,10091373378,13068,938785,1622442778
0,7375457,10091373378,13068,938786,1622442781
0,7410085,10091373378,13068,938787,1622442793
0,7410085,10082343891,13068,938788,1622442863
0,7505867,10082343891,13068,938789,1622442903
0,7505867,10148686754,13068,938790,1622443187
0,7511310,10148686754,13068,938791,1622443251
0,7337692,10148686754,13068,938792,1622443278
0,7337692,10165108674,13068,938793,1622443345
0,7311225,10165108674,13068,938794,1622443400
0,7261572,10165108674,13068,938795,1622443480
0,7261572,10206212793,13068,938796,1622443507
0,7276771,10206212793,13068,938797,1622443525
0,7276771,10179510076,13068,938798,1622443641
0,7346144,10179510076,13068,938799,1622443699
0,7277451,10179510076,13068,938800,1622443705
0,7277451,10325284207,13068,938801,1622443748
0,7237362,10325284207,13068,938802,1622443858
0,7237362,10379422380,13068,938803,1622444050
0,7302298,10379422380,13068,938804,1622444124
0,7184140,10379422380,13068,938805,1622444218
0,7184140,10337263039,13068,938806,1622444267
0,7191996,10337263039,13068,938807,1622444438
0,7191996,10283454440,13068,938808,1622444453
0,7185153,10283454440,13068,938809,1622444539
0,7245430,10283454440,13068,938810,1622444548
0,7245430,10188388027,13068,938811,1622444771
0,7198338,10188388027,13068,938812,1622444780
0,7198338,10184806861,13068,938813,1622444851
0,7114141,10184806861,13068,938814,1622444854
0,7141143,10184806861,13068,938815,1622444906
0,7141143,10222523406,13068,938816,1622445019
0,7137379,10222523406,13068,938817,1622445028
0,7137379,10222523406,13150,938818,1622445065
0,7078859,10222523406,13150,938819,1622445199
0,7078859,10228737740,13150,938820,1622445205
0,7105353,10228737740,13150,938821,1622445217
0,7105353,10202547999,13150,938822,1622445223
0,7154517,10202547999,13150,938823,1622445263
